Title,Link
Siklu.MultiHaul.TG.GetCredentials.Information.Disclosure,/encyclopedia/ips/56055
QNAP.QTS.QuTS.hero.share.cgi.Buffer.Overflow,/encyclopedia/ips/56048
Alkacon.OpenCMS.cmis-online.XXE,/encyclopedia/ips/56046
Cacti.reports_user.SQL.Injection,/encyclopedia/ips/56037
Kiuwan.SAST.on-premise.login.html.Reflected.XSS,/encyclopedia/ips/56026
Tongda.Office.Anywhere.staff_relatives.delete.SQL.Injection,/encyclopedia/ips/56040
Cisco.Adaptive.Security.Appliances.NDP.RA.DoS,/encyclopedia/ips/56023
Adobe.ColdFusion.CVE-2024-34112.Local.File.Inclusion,/encyclopedia/ips/56010
Ectouch.CMS.parameter.SQL.Injection,/encyclopedia/ips/56003
MS.Windows.CVE-2024-30089.Privilege.Elevation,/encyclopedia/ips/55932
MS.Windows.CVE-2024-35250.Privilege.Elevation,/encyclopedia/ips/55935
MS.Windows.Kernel.Driver.CVE-2024-30084.Privilege.Elevation,/encyclopedia/ips/55938
MS.Windows.NT.Kernel.CVE-2024-30088.Privilege.Elevation,/encyclopedia/ips/55940
MS.Windows.Win32k.CVE-2024-30087.Privilege.Elevation,/encyclopedia/ips/55939
MS.Windows.Win32k.CVE-2024-30091.Privilege.Elevation,/encyclopedia/ips/55934
Tenda.G3.modifyDhcpRule.Buffer.Overflow,/encyclopedia/ips/55999
Atlassian.Confluence.CVE-2024-21683.Remote.Code.Execution,/encyclopedia/ips/55994
Bludit.Pages.Editor.filename.Parameter.Arbitrary.File.Upload,/encyclopedia/ips/55996
Fluent.Bit.handle_trace_request.Heap.Buffer.Overflow,/encyclopedia/ips/55993
Sysrv.Botnet,/encyclopedia/ips/55936
TA505.Botnet,/encyclopedia/ips/55943
Apache.OFBiz.xmlrpc.performCommand.Path.Traversal,/encyclopedia/ips/55992
FPT.Devices.Ping_XForm.Remote.Code.Execution,/encyclopedia/ips/55984
Phicomm.Devices.Current_time.Command.Injection,/encyclopedia/ips/55986
Phicomm.Devices.PingAddr.Command.Injection,/encyclopedia/ips/55988
Phicomm.Devices.Sendnum.Command.Injection,/encyclopedia/ips/55985
Phicomm.Devices.TrHops.Command.Injection,/encyclopedia/ips/55987
ATEN.PE6208.Systemlog.Information.Disclosure,/encyclopedia/ips/55980
DrayTek.VigorConnect.DownloadFileServlet.Path.Traversal,/encyclopedia/ips/55752
Aztech.WMB250AC.status_wireless.Command.Injection,/encyclopedia/ips/55949
F-logic.DataCube3.getting_index_data.php.req_id.SQL.Injection,/encyclopedia/ips/55951
F-logic.DataCube3.transceiver_schedule.Arbitrary.File.Upload,/encyclopedia/ips/55958
F-logic.DataCube3.transceiver_schedule.Code.Injection,/encyclopedia/ips/55960
Google.Chrome.GuestView.CVE-2023-2725.Memory.Corruption,/encyclopedia/ips/54921
HAWKI.downvote.php.Arbitrary.File.Write.Overwrite,/encyclopedia/ips/55975
HAWKI.login.php.XSS,/encyclopedia/ips/55976
Phicomm.K2.AutoUpTime.Command.Injection,/encyclopedia/ips/55952
Progress.Kemp.LoadMaster.addSelectedRS.Command.Injection,/encyclopedia/ips/55971
TP-Link.Devices.WlanNetworkRpm.Code.Injection,/encyclopedia/ips/55923
TRENDnet.TEW-827DRU.apply.vlan_setting.Buffer.Overflow,/encyclopedia/ips/55973
TRENDnet.TEW-827DRU.apply.wizard_ipv6.Buffer.Overflow,/encyclopedia/ips/55974
Adobe.Acrobat.CVE-2019-8050.Buffer.Overflow,/encyclopedia/ips/55962
Apple.macOS.Finder.inetloc.Remote.Code.Execution,/encyclopedia/ips/55963
Google.Chrome.Blink.XSLT.strip-space.Use.After.Free,/encyclopedia/ips/55961
Node.js.System.Information.Library.Command.Injection,/encyclopedia/ips/55965
ORing.IAP-420.CVE-2024-5410.XSS,/encyclopedia/ips/55957
ORing.IAP-420.CVE-2024-5411.Command.Execution,/encyclopedia/ips/55959
Check.Point.Quantum.Security.Gateways.Path.Traversal,/encyclopedia/ips/55956
CyberPower.PowerPanel.Business.Import.Directory.Traversal,/encyclopedia/ips/55948
Ebury.Botnet,/encyclopedia/ips/55888
MS.Edge.Chakra.JIT.BailOutOnTaggedValue.Type.Confusion,/encyclopedia/ips/55945
MS.Windows.Adobe.Type.Manager.Library.Buffer.Overflow,/encyclopedia/ips/55944
Allegra.SiteConfigAction.Authentication.Bypass,/encyclopedia/ips/55941
Byzoro.Smart.S210.repair.SQL.Injection,/encyclopedia/ips/55942
RARLAB.WinRAR.help.topics.Memory.Corruption,/encyclopedia/ips/55930
Upstyle.Botnet,/encyclopedia/ips/55886
Cisco.SD-WAN.vManage.Software.Code.Injection,/encyclopedia/ips/55763
Gnuboard.safe_install_string_check.SQL.Injection,/encyclopedia/ips/55917
IO-DATA.WFS-SR03.Sys_smb_pwdmod.Command.Injection,/encyclopedia/ips/55909
MS.Windows.DHCP.Server.ProcessMadcapDiscoverAndRequest.DoS,/encyclopedia/ips/55924
MonoCMS.category.newcat.Parameter.Remote.Code.Execution,/encyclopedia/ips/55739
Nagios.Fusion.ajaxhelper.Remote.Code.Execution,/encyclopedia/ips/55874
SalesAgility.SuiteCRM.Log.File.Name.Arbitrary.File.Upload,/encyclopedia/ips/55831
Siemens.CP-8031.CP-8050.Cview.Command.Injection,/encyclopedia/ips/55915
Tenda.A18.WifiExtraSet.Buffer.Overflow,/encyclopedia/ips/55906
Tenda.Devices.GetParentControlInfo.Buffer.Overflow,/encyclopedia/ips/55892
Tenda.Devices.SetLEDCfg.Buffer.Overflow,/encyclopedia/ips/55920
Tenda.Devices.execCommand.Cookie.Buffer.Overflow,/encyclopedia/ips/55905
Tenda.Devices.fromSetRouteStatic.Buffer.Overflow,/encyclopedia/ips/55908
Tenda.Devices.fromqossetting.Buffer.Overflow,/encyclopedia/ips/55922
Tenda.Devices.wifiSSIDset.ssidIndex.parameter.Buffer.Overflow,/encyclopedia/ips/55914
Tenda.W15E.AddDnsForward.Buffer.Overflow,/encyclopedia/ips/55913
LG.LED.Assistant.seamCorrectionFileCreate.Directory.Traversal,/encyclopedia/ips/55916
SolarWinds.ARM.TextFormatting.Insecure.Deserialization,/encyclopedia/ips/55919
Cisco.IMC.ExpUpdateAgent.Command.Injection,/encyclopedia/ips/55904
WordPress.Core.Avatar.Block.Stored.XSS,/encyclopedia/ips/55912
WordPress.Tutor.LMS.Tutor_Calendar.SQL.Injection,/encyclopedia/ips/55910
Byzoro.Smart.Management.web.php.Arbitrary.File.Upload,/encyclopedia/ips/55878
F-logic.DataCube3.setting_photo.php.Arbitrary.File.Upload,/encyclopedia/ips/55868
Google.Chrome.V8.CVE-2024-4947.Type.Confusion,/encyclopedia/ips/55900
Progress.Kemp.Flowmon.ConfluencePresenter.php.Command.Injection,/encyclopedia/ips/55899
Siglent.SDS1104X-E.SCPI.DoS,/encyclopedia/ips/55870
Tenda.AC1200.WifiBasicSet.wrlPwd.Buffer.Overflow,/encyclopedia/ips/55889
Tenda.AC500.formQuickIndex.Buffer.Overflow,/encyclopedia/ips/55885
Tenda.Devices.SetRemoteWebManage.Buffer.Overflow,/encyclopedia/ips/55871
Tenda.Devices.addIpMacBind.Buffer.Overflow,/encyclopedia/ips/55877
Tenda.Devices.formexeCommand.Buffer.Overflow,/encyclopedia/ips/55894
D-Link.DIR-600.CVE-2014-100005.CSRF,/encyclopedia/ips/55887
Ivanti.Avalanche.getAdhocFilePath.Path.Traversal,/encyclopedia/ips/55884
MS.SharePoint.Server.Business.Data.Reflection.Code.Execution,/encyclopedia/ips/55881
WordPress.Duplicator.Plugin.download.init.Path.Traversal,/encyclopedia/ips/55890
XWiki.UIExtension.WikiUIExtensionParameters.Code.Injection,/encyclopedia/ips/55891
D-Link.Devices.changelogo.php.Arbitrary.File.Upload,/encyclopedia/ips/55863
D-Link.Devices.updatelib.php.Arbitrary.File.Upload,/encyclopedia/ips/55858
GitLab.Community.and.Enterprise.Edition.Profile.Page.XSS,/encyclopedia/ips/55865
Google.Chrome.V8.CVE-2024-4761.Out-of-Bounds.Write,/encyclopedia/ips/55872
OpenMetadata.Events.Subscriptions.Validation.API.SpEL.Injection,/encyclopedia/ips/55873
SolarWinds.ARM.JsonSerializationBinder.Insecure.Deserialization,/encyclopedia/ips/55876
Centreon.Web.updateGroups.SQL.Injection,/encyclopedia/ips/55852
Google.Chrome.V8.CVE-2021-21118.Out-of-Bounds.Read,/encyclopedia/ips/55859
Google.Chrome.V8.Engine.EffectPhi.Null.Pointer.Dereference,/encyclopedia/ips/55862
MS.Windows.Ms-Chx-Full.DoS,/encyclopedia/ips/55860
ASUS.RT-AX55.start_apply.Command.Injection,/encyclopedia/ips/55797
Adobe.Acrobat.CVE-2024-30284.Use.After.Free,/encyclopedia/ips/55817
Adobe.Acrobat.CVE-2024-30310.Out-of-Bounds.Write,/encyclopedia/ips/55821
Adobe.Acrobat.CVE-2024-30311.Out-of-Bounds.Read,/encyclopedia/ips/55820
Adobe.Acrobat.CVE-2024-30312.Out-of-Bounds.Read,/encyclopedia/ips/55818
DrayTek.Vigor2960.mainfunction.parameter.Command.Injection,/encyclopedia/ips/55841
Eveo.URVE.Web.Manager.img_upload.php.Arbitrary.File.Upload,/encyclopedia/ips/55837
Eveo.URVE.Web.Manager.upload.php.Arbitrary.File.Upload,/encyclopedia/ips/55835
Eveo.URVE.Web.Manager.uploader.php.Arbitrary.File.Upload,/encyclopedia/ips/55836
HTTP.X-Forwarded-For.Header.XSS,/encyclopedia/ips/55823
Hikvision.Intercom.System.exportrecord.Path.Traversal,/encyclopedia/ips/55833
LBT.T300-T390.ApCliSsid.Buffer.Overflow,/encyclopedia/ips/55202
LBT.T300.Mini1.apply.cgi.LAN.Parameters.Buffer.Overflow,/encyclopedia/ips/55843
MS.Windows.CLFS.Driver.CVE-2024-29996.Privilege.Elevation,/encyclopedia/ips/55726
MS.Windows.CLFS.Driver.CVE-2024-30025.Privilege.Elevation,/encyclopedia/ips/55728
MS.Windows.CLFS.Driver.CVE-2024-30037.DoS,/encyclopedia/ips/55729
MS.Windows.DWM.CVE-2024-30032.Privilege.Elevation,/encyclopedia/ips/55730
MS.Windows.DWM.CVE-2024-30035.Privilege.Elevation,/encyclopedia/ips/55727
Marvell.QConvergeConsole.getFileFromURL.Code.Injection,/encyclopedia/ips/55811
Marvell.QConvergeConsole.saveAsText.Code.Injection,/encyclopedia/ips/55807
Marvell.QConvergeConsole.setAppFileBytes.Code.Injection,/encyclopedia/ips/55808
Nagios.IM.Component.incident_id.Remote.Code.Execution,/encyclopedia/ips/55784
Peplink.Surf.SOHO.MVPN_trial_init.Command.Injection,/encyclopedia/ips/55791
Peplink.Surf.SOHO.USSD_send.Command.Injection,/encyclopedia/ips/55792
Peplink.Surf.SOHO.xfer_dns.Command.Injection,/encyclopedia/ips/55790
Sudo.Pwfeedback.CVE-2019-18634.Privilege.Elevation,/encyclopedia/ips/55844
